algorithm;timed out;problem instance;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
ADOPT;0;graphColoring_1548891910024;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;29;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891910024;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548891910592;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891910592;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3804;417;1;0;0
ADOPT;0;graphColoring_1548891911167;3;3;2;5;0;0.4;0.0;0.4;0.0;0;30;82;9056;456;0;0;0
DPOP;0;graphColoring_1548891911167;3;3;2;5;0;0.4;0.0;0.4;0.0;0;24;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548891911753;4;3;1;6;0;0.4;0.0;0.4;0.0;0;27;171;15386;456;0;0;0
DPOP;0;graphColoring_1548891911753;4;3;1;6;0;0.4;0.0;0.4;0.0;0;28;44;10815;475;2;0;0
ADOPT;0;graphColoring_1548891912416;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;30;229;20520;456;0;0;0
DPOP;0;graphColoring_1548891912416;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;29;57;14192;475;2;0;0
ADOPT;0;graphColoring_1548891913078;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;33;823;47711;456;0;infinity;infinity
DPOP;0;graphColoring_1548891913078;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;27;68;18230;726;3;infinity;infinity
ADOPT;0;graphColoring_1548891913874;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;23;2197;103320;456;0;infinity;infinity
DPOP;0;graphColoring_1548891913874;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;28;88;23444;726;3;infinity;infinity
ADOPT;0;graphColoring_1548891914766;6;3;1;10;0;0.4;0.0;0.4;0.0;0;32;1326;80371;456;0;0;0
DPOP;0;graphColoring_1548891914766;6;3;1;10;0;0.4;0.0;0.4;0.0;0;28;108;30578;1303;4;0;0
ADOPT;0;graphColoring_1548891915588;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891915588;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;22;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548891916153;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;19;28;4368;456;0;0;0
DPOP;0;graphColoring_1548891916153;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;16;16;3802;417;1;0;0
ADOPT;0;graphColoring_1548891916774;3;3;2;5;0;0.4;0.0;0.4;0.0;0;27;79;8985;456;0;0;0
DPOP;0;graphColoring_1548891916774;3;3;2;5;0;0.4;0.0;0.4;0.0;0;22;28;7008;475;2;0;0
ADOPT;0;graphColoring_1548891917382;4;3;2;6;0;0.4;0.0;0.4;0.0;0;33;139;13790;456;0;0;0
DPOP;0;graphColoring_1548891917382;4;3;2;6;0;0.4;0.0;0.4;0.0;0;22;40;10212;473;2;0;0
ADOPT;0;graphColoring_1548891918027;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;23;199;18580;456;0;0;0
DPOP;0;graphColoring_1548891918027;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;22;52;13414;475;2;0;0
ADOPT;0;graphColoring_1548891918663;6;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;36;8694;314062;456;0;0;0
DPOP;0;graphColoring_1548891918663;6;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;31;72;18640;475;2;0;0
ADOPT;0;graphColoring_1548891919695;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;32;808;53853;456;0;0;0
DPOP;0;graphColoring_1548891919695;4;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;31;88;24850;1449;4;0;0
ADOPT;0;graphColoring_1548891920491;5;3;1;10;0;0.4;0.0;0.4;0.0;-1;0;0;0;0;0;0;infinity
DPOP;0;graphColoring_1548891920491;5;3;1;10;0;0.4;0.0;0.4;0.0;0;28;109;33287;3046;5;0;0
ADOPT;0;graphColoring_1548891921333;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891921333;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;24;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548891921888;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891921888;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548891922481;3;3;2;5;0;0.4;0.0;0.4;0.0;0;25;82;9056;456;0;0;0
DPOP;0;graphColoring_1548891922481;3;3;2;5;0;0.4;0.0;0.4;0.0;0;28;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548891923177;4;3;2;6;0;0.4;0.0;0.4;0.0;0;20;145;14128;456;0;0;0
DPOP;0;graphColoring_1548891923177;4;3;2;6;0;0.4;0.0;0.4;0.0;0;24;40;10208;473;2;0;0
ADOPT;0;graphColoring_1548891923823;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;32;263;21355;456;0;0;0
DPOP;0;graphColoring_1548891923823;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;22;52;13417;475;2;0;0
ADOPT;0;graphColoring_1548891924492;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;31;423;31951;456;0;0;0
DPOP;0;graphColoring_1548891924492;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;30;72;18745;475;2;0;0
ADOPT;0;graphColoring_1548891925276;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;35;2156;113690;456;0;infinity;infinity
DPOP;0;graphColoring_1548891925276;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;26;88;24385;1161;4;infinity;infinity
ADOPT;0;graphColoring_1548891926092;5;3;1;10;0;0.4;0.0;0.4;0.0;0;44;6214;266752;456;0;infinity;infinity
DPOP;0;graphColoring_1548891926092;5;3;1;10;0;0.4;0.0;0.4;0.0;0;30;109;28920;680;3;infinity;infinity
ADOPT;0;graphColoring_1548891927062;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;19;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891927062;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548891927643;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;30;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891927643;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548891928248;2;3;1;5;0;0.4;0.0;0.4;0.0;0;27;86;9735;456;0;0;0
DPOP;0;graphColoring_1548891928248;2;3;1;5;0;0.4;0.0;0.4;0.0;0;25;32;7606;417;1;0;0
ADOPT;0;graphColoring_1548891928878;3;3;1;6;0;0.4;0.0;0.4;0.0;0;21;158;15097;456;0;0;0
DPOP;0;graphColoring_1548891928878;3;3;1;6;0;0.4;0.0;0.4;0.0;0;26;45;10854;473;2;0;0
ADOPT;0;graphColoring_1548891929558;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;41;8828;314640;456;0;0;0
DPOP;0;graphColoring_1548891929558;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;26;56;14030;475;2;0;0
ADOPT;0;graphColoring_1548891930603;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;30;433;32510;456;0;0;0
DPOP;0;graphColoring_1548891930603;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;23;69;18121;678;3;0;0
ADOPT;0;graphColoring_1548891931297;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;34;1251;74239;456;0;0;0
DPOP;0;graphColoring_1548891931297;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;27;90;24124;726;3;0;0
ADOPT;0;graphColoring_1548891932110;6;3;1;10;0;0.4;0.0;0.4;0.0;0;34;1323;79841;456;0;0;0
DPOP;0;graphColoring_1548891932110;6;3;1;10;0;0.4;0.0;0.4;0.0;0;28;109;30285;1353;4;0;0
ADOPT;0;graphColoring_1548891932948;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;29;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891932948;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;19;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548891933582;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891933582;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548891934180;2;3;1;5;0;0.4;0.0;0.4;0.0;0;28;86;9735;456;0;0;0
DPOP;0;graphColoring_1548891934180;2;3;1;5;0;0.4;0.0;0.4;0.0;0;24;32;7608;417;1;0;0
ADOPT;0;graphColoring_1548891934854;4;3;2;6;0;0.4;0.0;0.4;0.0;0;21;136;13692;456;0;0;0
DPOP;0;graphColoring_1548891934854;4;3;2;6;0;0.4;0.0;0.4;0.0;0;22;40;10210;473;2;0;0
ADOPT;0;graphColoring_1548891935489;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;28;266;22103;456;0;0;0
DPOP;0;graphColoring_1548891935489;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;34;57;14074;475;2;0;0
ADOPT;0;graphColoring_1548891936165;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;44;14001;500886;456;0;0;0
DPOP;0;graphColoring_1548891936165;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;72;18524;475;2;0;0
ADOPT;0;graphColoring_1548891937440;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;30;876;54534;456;0;0;0
DPOP;0;graphColoring_1548891937440;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;88;23618;728;3;0;0
ADOPT;0;graphColoring_1548891938217;6;3;2;10;0;0.4;0.0;0.4;0.0;0;32;3141;158709;456;0;infinity;infinity
DPOP;0;graphColoring_1548891938217;6;3;2;10;0;0.4;0.0;0.4;0.0;0;24;104;29455;1161;4;infinity;infinity
ADOPT;0;graphColoring_1548891939073;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;27;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891939073;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1901;417;1;0;0
ADOPT;0;graphColoring_1548891939633;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;28;4368;456;0;0;0
DPOP;0;graphColoring_1548891939633;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;16;16;3798;417;1;0;0
ADOPT;0;graphColoring_1548891940252;3;3;2;5;0;0.4;0.0;0.4;0.0;0;27;80;8991;456;0;0;0
DPOP;0;graphColoring_1548891940252;3;3;2;5;0;0.4;0.0;0.4;0.0;0;24;28;7008;473;2;0;0
ADOPT;0;graphColoring_1548891940852;3;3;2;6;0;0.4;0.0;0.4;0.0;0;28;154;14753;456;0;0;0
DPOP;0;graphColoring_1548891940852;3;3;2;6;0;0.4;0.0;0.4;0.0;0;21;41;10249;475;2;0;0
ADOPT;0;graphColoring_1548891941482;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;35;237;20337;456;0;0;0
DPOP;0;graphColoring_1548891941482;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;24;52;13414;475;2;0;0
ADOPT;0;graphColoring_1548891942156;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;33;390;30284;456;0;0;0
DPOP;0;graphColoring_1548891942156;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;72;18753;680;3;0;0
ADOPT;0;graphColoring_1548891942880;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;36;967;56701;456;0;0;0
DPOP;0;graphColoring_1548891942880;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;27;88;23410;728;3;0;0
ADOPT;0;graphColoring_1548891943706;6;3;1;10;0;0.4;0.0;0.4;0.0;0;33;1473;84500;456;0;0;0
DPOP;0;graphColoring_1548891943706;6;3;1;10;0;0.4;0.0;0.4;0.0;0;27;110;29683;680;3;0;0
ADOPT;0;graphColoring_1548891944513;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548891944513;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548891945076;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;24;32;4474;456;0;0;0
DPOP;0;graphColoring_1548891945076;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;22;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548891945651;3;3;1;5;0;0.4;0.0;0.4;0.0;0;27;85;9614;456;0;0;0
DPOP;0;graphColoring_1548891945651;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;32;7617;417;1;0;0
ADOPT;0;graphColoring_1548891946251;4;3;1;6;0;0.4;0.0;0.4;0.0;0;28;150;14646;456;0;0;0
DPOP;0;graphColoring_1548891946251;4;3;1;6;0;0.4;0.0;0.4;0.0;0;29;44;10819;475;2;0;0
