algorithm;timed out;problem instance;domain size;max degree;number of disconnected components;number of variables;target density p1;target tightness p2;true average density p1;true average tightness p2;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
AFB;0;randomMaxDisCSP_1548906626255;10;5;1;10;0.4;0.4;0.4;0.4072222222222164;5160;20;6028;204961;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906626255;10;5;1;10;0.4;0.4;0.4;0.4072222222222164;261200;65;108;86085;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906627199;10;6;1;10;0.4;0.5;0.4;0.4999999999999901;9000;28;6139;220324;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906627199;10;6;1;10;0.4;0.5;0.4;0.4999999999999901;2712100;222;109;520914;402602;5;0;0
AFB;0;randomMaxDisCSP_1548906628374;10;5;1;10;0.4;0.6;0.4;0.585555555555542;13840;26;6393;254604;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906628374;10;5;1;10;0.4;0.6;0.4;0.585555555555542;472100;63;109;130625;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906629345;10;7;1;10;0.4;0.7;0.4;0.6988888888888704;292160;85;17323;1694782;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906629345;10;7;1;10;0.4;0.7;0.4;0.6988888888888704;33100;29;108;43346;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906630731;10;6;1;10;0.4;0.8;0.4;0.7977777777777549;775880;115;39450;4549396;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906630731;10;6;1;10;0.4;0.8;0.4;0.7977777777777549;421100;81;108;86555;40797;4;3;3
AFB;0;randomMaxDisCSP_1548906632724;10;6;1;10;0.4;0.9;0.4;0.9011111111110838;544060;124;28433;3221888;454;0;4;4
DPOP;0;randomMaxDisCSP_1548906632724;10;6;1;10;0.4;0.9;0.4;0.9011111111110838;471100;74;109;126957;40797;4;4;4
AFB;0;randomMaxDisCSP_1548906634412;10;7;1;10;0.4;0.99;0.4;0.9927777777777465;10065480;940;737236;100373485;454;0;12;12
DPOP;0;randomMaxDisCSP_1548906634412;10;7;1;10;0.4;0.99;0.4;0.9927777777777465;522100;89;108;115862;40797;4;12;12
AFB;0;randomMaxDisCSP_1548906651832;10;6;2;10;0.4;0.4;0.4;0.4177777777777715;5250;21;5883;175952;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906651832;10;6;2;10;0.4;0.4;0.4;0.4177777777777715;921100;92;104;158194;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906652862;10;8;1;10;0.4;0.5;0.4;0.5083333333333231;6760;18;6111;216170;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906652862;10;8;1;10;0.4;0.5;0.4;0.5083333333333231;422100;79;108;78761;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906653876;10;5;1;10;0.4;0.6;0.4;0.5933333333333194;194390;77;15548;1504331;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906653876;10;5;1;10;0.4;0.6;0.4;0.5933333333333194;582100;94;108;163135;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906655262;10;5;1;10;0.4;0.7;0.4;0.6938888888888706;80960;49;10770;840453;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906655262;10;5;1;10;0.4;0.7;0.4;0.6938888888888706;2342100;192;108;485021;402602;5;0;0
AFB;0;randomMaxDisCSP_1548906656563;10;6;1;10;0.4;0.8;0.4;0.8005555555555326;365500;82;19729;1985522;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906656563;10;6;1;10;0.4;0.8;0.4;0.8005555555555326;262100;72;109;79211;40797;4;2;2
AFB;0;randomMaxDisCSP_1548906658017;10;7;1;10;0.4;0.9;0.4;0.904444444444417;506730;137;48815;5818222;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906658017;10;7;1;10;0.4;0.9;0.4;0.904444444444417;34100;33;108;39238;4573;3;6;6
AFB;0;randomMaxDisCSP_1548906660310;10;8;1;10;0.4;0.99;0.4;0.9883333333333022;767170;166;77334;9919617;454;0;13;13
DPOP;0;randomMaxDisCSP_1548906660310;10;8;1;10;0.4;0.99;0.4;0.9883333333333022;32100;33;108;39267;4573;3;13;13
AFB;0;randomMaxDisCSP_1548906663210;10;6;1;10;0.4;0.4;0.4;0.4072222222222164;3130;25;5930;192006;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906663210;10;6;1;10;0.4;0.4;0.4;0.4072222222222164;324100;70;108;83303;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906664282;10;6;2;10;0.4;0.5;0.4;0.5011111111111012;21830;40;6739;283365;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906664282;10;6;2;10;0.4;0.5;0.4;0.5011111111111012;552100;81;104;121934;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906665535;10;6;2;10;0.4;0.6;0.4;0.6016666666666524;8800;29;6153;208338;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906665535;10;6;2;10;0.4;0.6;0.4;0.6016666666666524;422100;68;104;81566;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906666510;10;6;1;10;0.4;0.7;0.4;0.7161111111110918;135520;78;13471;1209329;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906666510;10;6;1;10;0.4;0.7;0.4;0.7161111111110918;62100;45;108;43381;4573;3;1;1
AFB;0;randomMaxDisCSP_1548906667783;10;6;1;10;0.4;0.8;0.4;0.7949999999999773;872110;133;48923;5780844;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906667783;10;6;1;10;0.4;0.8;0.4;0.7949999999999773;61200;30;109;46685;4573;3;3;3
AFB;0;randomMaxDisCSP_1548906670072;10;5;1;10;0.4;0.9;0.4;0.9155555555555276;5810020;456;223622;29458152;454;0;7;7
DPOP;0;randomMaxDisCSP_1548906670072;10;5;1;10;0.4;0.9;0.4;0.9155555555555276;71100;36;109;54446;4573;3;7;7
AFB;0;randomMaxDisCSP_1548906676424;10;7;1;10;0.4;0.99;0.4;0.9899999999999688;95960;67;13567;1221408;454;0;13;13
DPOP;0;randomMaxDisCSP_1548906676424;10;7;1;10;0.4;0.99;0.4;0.9899999999999688;86100;45;108;50738;4573;3;13;13
AFB;0;randomMaxDisCSP_1548906677643;10;5;1;10;0.4;0.4;0.4;0.41888888888888254;5330;20;5973;198470;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906677643;10;5;1;10;0.4;0.4;0.4;0.41888888888888254;282100;82;108;82809;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906678597;10;6;1;10;0.4;0.5;0.4;0.48611111111110183;5950;27;6188;226898;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906678597;10;6;1;10;0.4;0.5;0.4;0.48611111111110183;631100;88;109;122421;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906679574;10;6;1;10;0.4;0.6;0.4;0.6027777777777634;14950;32;6555;275606;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906679574;10;6;1;10;0.4;0.6;0.4;0.6027777777777634;52200;49;108;46633;4573;3;0;0
