algorithm;timed out;problem instance;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;randomMeetingScheduling_1548911016061;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911016061;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16265;811;1;0;0
DPOP;0;randomMeetingScheduling_1548911016688;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;27;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911016688;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;51;1810;32460;814;1;0;0
DPOP;0;randomMeetingScheduling_1548911017395;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;42;24;7542;1234;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911017395;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;60;2715;53822;2532;2;0;0
DPOP;0;randomMeetingScheduling_1548911018200;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;55;26;12795;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911018200;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;134;3616;86447;14421;3;0;0
DPOP;0;randomMeetingScheduling_1548911019231;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;269;26;452623;231561;5;0;0
P-DPOP;1;randomMeetingScheduling_1548911019231;0.0;infinity;PEAV;null;3;2;5;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548911134551;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;267;26;354171;314893;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911134551;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19724;5422;786914;634995;5;0;0
DPOP;0;randomMeetingScheduling_1548911158197;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911158197;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16215;811;1;0;0
DPOP;0;randomMeetingScheduling_1548911158799;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;33;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911158799;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;62;1810;34514;2429;2;0;0
