algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913574220;pure Nash;0.0;1;2;1.0;1;0;28;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913574220;pure Nash;0.0;1;2;1.0;1;0;44;1808;29539;642;2;infinity;infinity
DPOP;0;partyProblem_1548913574886;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913574886;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60206;642;3;0;0
DPOP;0;partyProblem_1548913575678;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913575678;pure Nash;0.0;1;4;0.5;2;0;49;5426;89725;642;3;0;0
DPOP;0;partyProblem_1548913576579;pure Nash;0.0;1;5;0.4;3;0;35;40;8624;450;2;0;0
P-DPOP;0;partyProblem_1548913576579;pure Nash;0.0;1;5;0.4;3;0;51;7236;119868;641;3;0;0
DPOP;0;partyProblem_1548913577713;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;51;10848;450;2;0;0
P-DPOP;0;partyProblem_1548913577713;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9044;149889;840;4;0;0
DPOP;0;partyProblem_1548913578878;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13601;450;3;0;0
P-DPOP;0;partyProblem_1548913578878;pure Nash;0.0;1;7;0.2857142857142857;3;0;67;10850;178376;790;4;0;0
DPOP;0;partyProblem_1548913580173;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913580173;pure Nash;0.0;1;2;1.0;1;0;49;1808;29478;642;2;infinity;infinity
DPOP;0;partyProblem_1548913580860;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913580860;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3618;59943;640;2;0;0
DPOP;0;partyProblem_1548913581691;pure Nash;0.0;1;4;0.5;2;0;32;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548913581691;pure Nash;0.0;1;4;0.5;2;0;54;5428;90536;642;3;0;0
DPOP;0;partyProblem_1548913582592;pure Nash;0.0;1;5;0.4;3;0;35;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913582592;pure Nash;0.0;1;5;0.4;3;0;54;7234;119486;690;4;0;0
DPOP;0;partyProblem_1548913583721;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548913583721;pure Nash;0.0;1;6;0.3333333333333333;3;0;59;9044;152149;1612;7;0;0
DPOP;0;partyProblem_1548913584892;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13415;450;2;0;0
P-DPOP;0;partyProblem_1548913584892;pure Nash;0.0;1;7;0.2857142857142857;3;0;57;10850;178525;690;4;0;0
DPOP;0;partyProblem_1548913586203;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913586203;pure Nash;0.0;1;2;1.0;1;0;47;1810;30472;538;2;infinity;infinity
DPOP;0;partyProblem_1548913586878;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913586878;pure Nash;0.0;1;3;0.6666666666666666;2;0;47;3616;59032;642;2;0;0
DPOP;0;partyProblem_1548913587685;pure Nash;0.0;1;4;0.5;2;0;38;30;6450;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913587685;pure Nash;0.0;1;4;0.5;2;0;52;5426;89137;642;2;infinity;infinity
DPOP;0;partyProblem_1548913588609;pure Nash;0.0;1;5;0.4;3;0;31;40;8606;450;2;0;0
P-DPOP;0;partyProblem_1548913588609;pure Nash;0.0;1;5;0.4;3;0;56;7236;120401;690;4;0;0
DPOP;0;partyProblem_1548913589648;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548913589648;pure Nash;0.0;1;6;0.3333333333333333;3;0;59;9046;150842;790;4;0;0
DPOP;0;partyProblem_1548913590734;pure Nash;0.0;1;7;0.2857142857142857;3;0;36;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913590734;pure Nash;0.0;1;7;0.2857142857142857;3;0;68;10854;182354;1272;6;infinity;infinity
DPOP;0;partyProblem_1548913592049;pure Nash;0.0;1;2;1.0;1;0;31;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913592049;pure Nash;0.0;1;2;1.0;1;0;42;1810;30342;538;2;0;0
DPOP;0;partyProblem_1548913592800;pure Nash;0.0;1;3;0.6666666666666666;2;0;26;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913592800;pure Nash;0.0;1;3;0.6666666666666666;2;0;46;3618;59862;642;2;0;0
DPOP;0;partyProblem_1548913593567;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548913593567;pure Nash;0.0;1;4;0.5;2;0;48;5428;90506;641;3;0;0
DPOP;0;partyProblem_1548913594471;pure Nash;0.0;1;5;0.4;3;0;29;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913594471;pure Nash;0.0;1;5;0.4;3;0;59;7238;122139;790;4;0;0
DPOP;0;partyProblem_1548913595543;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10774;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913595543;pure Nash;0.0;1;6;0.3333333333333333;3;0;55;9040;147849;666;2;infinity;infinity
DPOP;0;partyProblem_1548913596610;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913596610;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10852;179785;667;3;infinity;infinity
DPOP;0;partyProblem_1548913597822;pure Nash;0.0;1;2;1.0;1;0;28;13;2639;447;2;0;0
